title,location,precio,basic_features,extra_features
Piso en venta en rambla de Méndez Núñez,Centro Tradicional,260000,"['122 m² construidos', '2 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje por 60.000 € adicionales', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación este', 'Construido en 1999', 'Calefacción individual: Eléctrica', 'Planta 1ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo: \n139 kWh/m² año', 'Emisiones: \n34 kg CO2/m² año']"
Piso en venta en Centro Tradicional,Centro,300000,"['92 m² construidos', '3 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 2000', 'No dispone de calefacción', 'Planta 3ª exterior', 'Con ascensor']","['Consumo: \n160 kWh/m² año', 'Emisiones: \n40 kg CO2/m² año']"
Dúplex en venta en calle San Francisco s/n,Centro Tradicional,400000,"['218 m² construidos, 182 m² útiles', '4 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación oeste', 'Construido en 1990', 'Calefacción individual: Eléctrica', 'Planta 1ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en Centro Tradicional,Centro,235000,"['72 m² construidos', '3 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Orientación norte, oeste', 'Construido en 1970', 'No dispone de calefacción', 'Planta 4ª exterior', 'Con ascensor']","['Aire acondicionado', 'No indicado']"
Piso en venta en Ecuador,Ensanche-Diputación,205300,"['144 m² construidos', '3 habitaciones', '2 baños', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Trastero', 'Planta 6ª exterior', 'Con ascensor']",['En trámite']
Piso en venta en calle Ángel Lozano,Centro Tradicional,315000,"['136 m² construidos', '4 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Planta 5ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Ático en venta en avenida Doctor Gadea,Centro Tradicional,650000,"['180 m² construidos', '5 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/para reformar', 'Armarios empotrados', 'Planta 9ª exterior', 'Con ascensor']",['En trámite']
Piso en venta en calle Cándida Jimeno Gargallo,Centro Tradicional,490000,"['227 m² construidos, 181 m² útiles', '5 habitaciones', '3 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur, oeste', 'Construido en 1998', 'Calefacción central', 'Planta 1ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Casa o chalet independiente en venta en Juberri,Área de Sant Julià,1275000,"['Casa o chalet independiente', '2 plantas', '249 m² construidos, 188 m² útiles', '4 habitaciones', '3 baños', 'Parcela de 400 m²', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur, oeste', 'Construido en 2024', 'Calefacción individual']","['Jardín', 'No indicado']"
Casa o chalet independiente en venta en Zona Mas del Jutge,Torrent,240000,"['Casa o chalet independiente', '1 planta', '247 m² construidos, 230 m² útiles', '4 habitaciones', '2 baños', 'Parcela de 1.154 m²', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación este, oeste', 'Construido en 2000', 'Calefacción individual']","['Aire acondicionado', 'Piscina', 'Jardín', 'Consumo: \n120 kWh/m² año', 'Emisiones: \n40 kg CO2/m² año']"
